StudentID,Algebra,OOP,OS,WebProgramming,CloudComputing,ComputerScienceHistory
TFB87SBA1GK,0,4,3,5,3,8
RQC42LZT3VU,9,5,7,1,3,9
CTY06EDF5IT,1,9,8,5,3,8
OGD33XRG7RX,2,9,6,4,1,3
PIN93XER8RK,0,4,3,7,8,10
LSP15SEN7EL,2,6,8,1,5,7
WBV17NVT8EO,8,2,8,3,0,6
KCM41JRY6JV,6,1,10,6,2,6
YRI77FST1CA,1,6,1,9,5,2
HCI82TUG2RE,8,7,3,2,0,3
VTU49OMM6PE,4,7,2,4,7,1
XKL71SJQ8FX,3,3,2,5,9,0
EBF41VMH6OI,8,7,8,3,4,4
KOW31YXB5ZW,7,0,6,7,5,2
MYC68TPD3MG,2,7,8,1,5,4
IAY73BDC7BG,7,3,2,5,1,9
DCJ56TYU1PM,4,0,9,1,5,1
CUE36ULL2FK,4,3,8,7,1,8
RST26XGC3BW,9,10,8,8,2,10
YWG84BGK3JI,9,9,3,1,1,5
DBH53VIV5NC,4,7,2,7,8,7
STV90VAV0BI,8,3,4,8,0,7
SMA67VTA5YU,4,7,9,2,4,7
ZEK10PNI6MM,9,1,2,3,8,8
PJB65XDQ4UV,7,5,9,1,2,4
EFL48FOJ4WN,0,2,1,4,4,3
TSK83SOC7JI,1,6,8,9,5,7
DDY75DHT6PU,5,9,9,10,6,4
COK98MHA7KH,10,3,0,0,6,9
EOY56HHK6PY,8,1,4,2,6,8
AYH49KXP6GD,4,9,0,6,8,6
XOP97BHO1GC,9,8,9,2,5,3
FCJ17DBV5MV,7,1,3,9,8,7
PBA87OVQ3GL,3,5,3,0,1,4
JIY19SKZ8UG,5,9,3,5,1,7
UFX67TQT5SE,7,1,1,9,6,7
EKX81RVF1NB,1,3,7,3,2,4
XHN86GKM8VZ,6,1,9,8,5,0
THP95PTD4GL,0,5,5,3,8,2
UAF28ULR8QC,0,6,6,5,9,2
UHG20QVV9CY,2,1,6,3,0,8
MIX78DXH6DJ,3,0,7,4,7,4
RFM16PQU3PO,1,8,2,9,10,4
RYO18YGV6VX,9,9,10,8,10,7
QFR46JXM1VX,8,6,2,10,2,8
RDD51TNO1DQ,3,9,4,4,9,1
AZS06IQH5VK,7,3,8,9,5,10
CTG83HCS1AD,1,1,10,1,9,9
XMQ50BVR5UD,7,2,6,0,9,4
IZQ15RJJ1XD,4,3,7,7,1,7
KFN62EQT1II,2,5,7,9,3,8
AYL62ADG7IZ,3,8,1,9,8,7
LBX61IGX6HY,1,1,8,9,6,7
LER68XSO8RO,1,5,0,2,2,3
GOU64EMS0TE,7,6,2,3,2,3
GJO31YVV1BT,7,5,8,6,7,3
NKW30SWI3CX,6,10,7,8,7,1
QUM56QBT9TR,9,4,10,4,8,8
ZWC76GTS1QZ,8,7,6,7,3,6
BBT48MUD4IY,5,6,3,4,3,3
VUW85GXY6WL,4,10,4,4,9,6
XIP24HME3BQ,0,8,8,4,2,4
HWB78ELB5SJ,4,7,9,2,7,9
LEU56TWV7CX,6,6,8,6,7,1
RVL82ICO4XS,1,5,9,2,8,1
UCJ82SEP3BL,2,6,9,5,1,1
DXJ64CXT8EK,9,8,9,5,5,7
JLE17GTW1CI,3,9,10,7,5,9
QUK37XHF6SW,9,8,8,5,8,8
FFG33JJW3YI,5,4,7,1,5,1
RFW62BNN4QP,7,6,5,4,5,7
TUC33PBM6MT,3,0,6,0,1,5
FLB55OYF9UL,5,8,10,4,9,2
DTC36YUI3RE,2,2,1,6,10,4
YVW02LDG3BW,9,0,2,4,9,8
JLS08LOI5SI,0,0,4,6,0,7
HUD96REX3UN,7,4,6,2,2,7
FHB46JMK2QH,5,6,10,1,4,7
SUR33DGS4QT,4,9,3,6,7,1
UQI07JFN4SV,7,3,7,7,3,8
VDD23XIC7WB,8,5,4,4,5,5
NVK53YUL4KN,4,4,3,4,7,9
CHM33KFK5UE,4,5,4,1,9,5
TUY85FFC7SX,6,6,1,0,8,6
FQT13SUG5CY,8,9,4,1,7,3
WQL45TMN0ZM,2,2,3,4,7,5
MEL77TFM9PK,3,4,9,8,2,3
JMM65UYB5WR,0,2,1,4,2,2
IBB49VED0AO,4,8,9,2,10,7
XKF68XFO6SB,8,6,3,4,10,4
UMY72CNC7TG,9,2,3,4,2,4
UPF44LCI6VR,3,7,8,2,5,0
TGE33IUL1GK,6,10,2,9,3,2
JVC76ZYR2CL,3,7,6,7,9,0
NGM48XXN6NP,2,1,3,2,4,4
YJF54CBN0LP,5,1,6,3,8,5
GSE39QDI3CQ,7,7,8,4,2,7
XLQ71MPM5PN,5,9,4,3,3,6
WMR34MNE7TV,8,2,5,8,8,9
WQJ37ODQ0CX,10,6,4,2,0,0
BFP64MGN0JB,5,3,7,5,9,6
YQP08IZV7UY,2,8,6,8,5,1
GAD54NQV0SI,4,6,4,2,3,9
HHV86CLL6PD,3,2,2,5,1,2
NIJ11WSA6KQ,5,3,2,9,8,8
ZIP41YCH9PT,10,9,9,4,6,4
SMJ11VTG5FC,8,6,9,0,6,2
EPV43QLD9VB,7,7,4,1,9,1
NGR30CDQ8SX,2,4,7,7,6,8
JBT15RYC1AC,9,6,2,0,6,4
IHN47JJW2NY,4,5,2,2,3,9
XCX41JHR8RK,4,8,6,10,3,8
VBK16KUP2VN,3,7,5,9,3,2
BMR85TFU9HE,4,5,6,3,7,5
KOB33NFS2FF,10,6,6,9,4,2
KSD75NOE3QT,4,3,8,4,3,8
KCH53REP8DI,8,1,8,1,4,10
ANI43MSH2MF,6,3,2,9,3,6
MZX36FOI7RH,1,5,5,8,8,4
EHH84EUR6BJ,3,8,7,6,5,1
TEK87DWK9LR,6,0,2,8,5,6
BFD03VIF3JM,3,3,3,5,9,2
JZH62CCV5CK,3,8,1,3,3,6
IPZ21IVX7RR,8,7,4,5,2,10
SLP43EEJ8LP,4,8,7,9,3,1
KKR46WER3XD,5,8,2,10,3,9
GQT82OAL3WM,0,9,6,2,7,1
BWG83TPF0RP,0,3,5,1,4,2
XBT93ZVP7MT,4,9,2,4,3,6
YTA17JXM3WH,1,10,7,4,5,7
ZOL31FPR7DH,1,6,1,9,5,3
KEU67KBS8DQ,4,1,2,1,3,9
GGE89OXW3SL,4,5,7,0,7,3
UKN94JFU6UO,6,6,3,5,2,3
HFT12OXD8GK,6,7,0,7,2,5
TUO87UII5SS,4,6,5,2,2,1
OHI18IHM9LB,8,4,10,7,8,3
ENY86MMI5FE,7,9,10,10,10,9
WRD99HNF0GN,4,3,7,5,5,5
HQD22KHL5XP,8,0,8,4,1,9
RFS55RQC3NC,2,0,8,9,0,6
OEC73KGY8NP,7,5,2,1,2,6
IDB22UXT0YM,9,1,2,9,5,3
VVJ48XWH4JH,3,5,8,2,7,9
MKK66QOH9GQ,4,1,3,2,3,9
HGC15BKY7VL,0,1,1,4,1,10
EGU23TMB6MY,3,5,10,3,1,7
UYV81IBR4BQ,9,6,1,1,10,3
GJF71QKV2DC,0,4,10,7,3,2
XIO62ZWY5MW,8,7,2,2,6,7
EOZ69XRP5UI,4,3,7,1,6,10
KJP26HQB6ZP,9,4,9,4,9,3
RXC23UDE4FZ,4,2,3,8,8,4
KCP25KSD5UF,8,5,1,1,7,5
GFN71BYP8RN,7,5,2,4,9,6
LML50ZRF9SE,9,6,1,3,6,7
NNE47MYR1QK,5,4,5,6,4,8
HYT40UVE0QN,1,8,6,3,6,8
VMQ70OCM1YP,1,7,2,10,9,4
YGL41IFG6JY,2,9,8,5,1,10
ZXI67LJJ5CM,3,10,1,10,1,8
VPM23HDH7SQ,10,1,6,2,8,0
QOU26POE1HK,9,9,3,3,4,8
PUX47TUW6DL,2,6,10,4,7,7
NRW82ZBD3MZ,2,4,9,6,10,2
AQF20EXX0NG,5,3,2,6,4,5
PPS23XLG1VD,8,2,4,6,1,7
JVF49GBV1WR,6,4,3,5,3,8
XWB51LYF2XM,4,10,2,2,8,4
ZEH74URD4BH,1,8,4,5,6,1
HYT64TIG2BE,4,2,2,4,4,7
UQF01HYS8ST,2,1,6,9,5,2
KTI06PUQ1BK,5,10,5,9,6,1
OSI07EYN3LZ,6,7,6,5,7,9
HGO07IBU2YD,7,7,0,9,7,4
ZDW64TNP6ZH,1,3,8,10,4,4
KHC17BUF7QG,1,4,1,10,8,2
XQZ58YVQ1JG,2,9,8,1,3,4
XWW62GNR8TL,8,8,3,6,9,7
SNG44TPU0ON,5,2,10,7,0,6
ILB45AXA0FY,7,7,5,5,1,10
NMB59QTR2JN,0,4,5,10,5,4
JTY15INW7ME,5,8,7,5,5,5
IPA74LGY4UI,8,9,3,7,0,4
ORD75LTV6GW,0,9,5,8,10,3
CXA96RXL1WU,3,1,2,2,9,10
EPB14XKB0FE,7,3,6,4,7,6
EYO78RFE6AH,3,1,1,7,5,7
MLT39DJL5UY,9,4,4,0,8,5
QME02ZVS6MI,5,8,7,5,6,1
QFV44XJU8QL,10,3,9,4,6,2
PPW14QPM7EN,9,5,7,5,5,7
YPY47LKQ3FS,7,7,7,10,9,5
AQP17HMT6JV,4,4,4,2,9,2
QOH68WQM5TH,1,6,8,4,9,1
SIR61YYB0FI,1,0,6,0,5,2
TQW11FKN9PO,4,7,7,6,5,7
UQT77MYK4CU,5,1,8,5,6,6
VMG02IOQ8PS,9,1,6,8,5,5
PGD41XPF7YU,7,3,1,7,10,9
EQO55CVT5DQ,2,8,4,2,4,2
XQE16CII7UX,5,4,3,3,1,0
QDL25WUN8SO,9,9,6,4,8,9
VLF34XYB6PR,3,8,3,5,5,1
KGX09KQN6UK,3,3,10,7,6,2
IHW27YJW7ZM,9,4,1,3,1,8
VOX55FLN8UW,7,5,8,3,7,2
INI54DPT8RR,5,1,6,2,9,5
QRD08YUL3FV,4,4,2,0,8,2
UET43ZWQ6UT,3,1,1,3,3,3
PVL27IUR4DB,5,6,8,6,7,3
JTU63EMI7BA,1,10,8,1,5,7
CQU19VYD3BX,2,6,6,1,10,2
IRR22EQI5IH,0,5,5,4,5,4
HBQ41QFS2UM,8,3,7,10,9,2
MIT88JVS3ET,9,5,8,9,4,4
KUG81XVW8BE,4,3,3,1,6,8
GFG11YYU2RT,4,2,2,0,6,9
NKZ34BXT5CT,3,5,1,3,3,8
BQR34FZE6RE,1,1,4,5,7,7
EYT38UJI4PO,8,9,3,6,2,5
BQY10HUL1UV,7,5,5,4,8,0
QGH78JIS7CT,9,7,2,2,5,7
ZSK24NBO0KI,8,0,7,6,3,2
XAS26LCP4EB,7,8,0,4,5,4
HDK83NQF7JL,7,5,7,2,5,5
JDW15WTI5GL,4,5,4,0,2,3
MAB89ETH3KP,2,1,5,0,8,6
SUY28LMT1YF,3,6,7,10,6,2
HGK12TMF3HY,7,6,3,8,2,0
ALV48FIB5HG,1,5,9,10,7,0
QCR23DUC8OJ,4,3,9,5,1,2
FVC81STL4EM,8,1,9,7,1,10
PLL63DRJ9BC,10,8,1,4,10,2
MLN25GUU5IT,6,5,7,4,1,6
XYI69CYB4DT,9,7,9,7,10,8
EFT17UMK8OZ,10,0,1,4,2,6
IOC31XBT4SY,9,10,0,6,9,2
KWO72KFE1YH,8,6,4,6,4,4
RYN04LMT4AP,8,2,4,7,7,8
OGH25UKT2JO,6,1,2,7,2,4
OSK89GXC0SP,2,6,7,3,8,8
CWB58YAV8QT,8,8,6,5,7,8
MNI46ECQ6EP,1,9,3,8,7,9
OBG36ELV3LW,9,5,3,7,3,4
FIR33SZE4IH,2,4,7,1,0,9
IBE47OUU2NY,2,6,0,8,4,9
VDB31VBQ7AQ,6,7,4,7,4,3
DNV36HTS0PM,3,5,4,6,1,5
KIJ51ERM6QS,7,5,1,2,8,5
USA73LYO8NL,8,7,1,6,3,6
DVU71ZFQ8YJ,8,3,6,4,5,2
OKH12FFV6CI,3,0,8,9,1,2
TMP05NLZ8CN,2,8,8,2,9,6
GQT32MIZ5RQ,0,7,8,2,9,5
ZFY29KHE4FR,10,7,8,0,10,9
VOC38OPV2NG,5,8,2,1,1,3
QET12TPI1DI,2,0,9,3,6,3
CNB93ZMV5PW,9,0,5,9,9,8
OGE68DEQ8JX,5,3,1,7,8,6
TFQ12DDG3MC,1,9,10,9,6,1
HML84QVJ4IH,5,1,5,9,2,4
XLT60LRC1FL,3,5,5,5,4,10
ITJ30HOI1AL,8,5,4,7,7,4
FVH24COE2WB,1,5,3,3,2,9
QGY64SAF4FP,4,4,0,6,1,8
SIO88GJA1KK,5,9,2,8,9,3
POD52WYP1PN,7,10,8,9,0,6
GSR38KBO5YI,10,4,4,4,0,1
CTV24YXX7OL,3,2,5,9,2,3
UCL54YEI5QV,4,6,7,3,9,5
STJ85XUE0NC,10,9,4,1,5,3
OUM82HYQ3CF,7,10,10,7,1,4
VSC92FLX9XE,7,0,1,2,2,3
MBS88XUG9QB,10,3,1,2,10,3
VKQ36HHD9QJ,10,2,5,1,0,5
BRT74MFY8PF,1,2,2,1,5,10
FBJ61IYR4YL,3,1,4,3,5,2
AHB19EJM2GO,0,1,6,4,5,4
VMJ75VEK7KH,10,8,2,2,6,1
FIW84PEX8CG,1,4,1,3,8,4
BII25FSB2CR,7,2,9,7,7,9
TST73LED3RG,4,2,6,7,6,4
JME56UGC4NK,1,6,0,1,7,8
VWT77VEQ2OO,8,6,5,5,8,2
IXR25IVC2EZ,9,4,2,4,2,1
CCX52TGR5JI,8,7,5,7,1,7
QVK41HHC7CP,10,9,2,8,10,7
HJK81RWE6JI,10,7,8,6,7,9
IVM38YMZ3YJ,3,8,7,8,10,10
LGH13BXQ3PV,3,4,9,7,6,6
OIV33DUW7IW,3,2,0,9,7,5
HLW45MXJ1MD,3,6,8,6,4,7
GEN20BJO6WB,2,9,10,9,2,6
VLR79HDI1EL,6,7,10,2,6,3
ELY65QIT0UL,8,4,3,4,9,8
HER18YCJ4QP,8,7,9,2,9,3
WZY93NFI2VX,10,7,10,3,10,8
UNA90FYB2IP,7,8,5,5,2,8
GTF67EQY6LM,1,7,0,9,5,2
UMF09CCH8LK,2,1,9,9,7,8
KMA66UYR6RB,9,4,4,6,4,9
TCW52WOV5GW,7,4,3,1,0,7
XCJ92NCO4IE,9,10,6,5,5,6
OPE78OEV7YD,2,2,1,7,1,10
WKO34JVB3CZ,1,3,3,5,6,8
MEH62MBW5TR,2,9,9,7,10,2
NSJ53DLA4JK,7,1,8,8,7,10
JVI51EXW5DI,4,3,9,4,6,2
SYR12ODS2XX,2,3,6,8,6,4
UAR58ZHJ9TF,4,6,3,0,2,3
BTD50ZUB3FH,3,8,8,3,2,1
JII03AJU3TY,3,5,4,4,6,9
NWS31PLU7UV,10,7,4,3,8,8
OIY94GZR3TP,0,4,7,7,8,5
JMK23QJY0UT,2,1,2,7,9,2
FXT25LXM0II,2,4,9,5,1,6
TIJ54GHJ4HC,2,7,3,5,8,7
LSC25ZQA2XO,9,5,8,4,5,4
BKE74KCE8HC,4,6,0,10,0,0
KOH83RRV2ST,5,6,7,2,8,4
IDN46KCB4MN,8,5,5,2,0,0
WQZ78XXP4FJ,4,9,10,8,2,4
THD37FNA2RT,0,7,7,4,6,2
LBV51TXO2TQ,5,8,4,6,6,9
QOA51EKN1BJ,1,9,1,4,3,2
THS21ENM2OB,9,7,8,5,4,3
HXI15PHB3ZR,8,5,9,4,5,3
QCL49RNE8VP,9,3,7,0,0,0
NSO31SOD2EL,0,0,7,4,8,1
CKB55YMR3CW,6,7,8,2,9,8
HQO37SCP8SL,3,7,1,1,8,6
BGU61VWJ6BJ,1,3,9,7,0,7
IXT22XCX4CU,5,7,4,5,6,3
XBH24PBX8VF,5,6,0,8,8,3
YKX71IMJ6KH,4,4,2,5,1,1
OLG26QBT7LZ,8,5,9,0,9,6
WKL27YDH7IR,9,0,8,4,8,3
TSC97NPE2RL,8,4,5,5,10,9
QUB13NWR4FL,2,1,3,7,9,8
CON40IMR1GU,2,1,1,10,5,10
DOO33IVS1CX,2,9,5,10,7,4
HAQ22QMB3OJ,1,5,6,2,3,7
FSI60XUY0CV,10,4,1,9,6,1
YDY12OPU5KA,2,5,6,1,2,10
XCR28NNN8WZ,6,7,8,7,1,5
BHO87KNI3AG,1,6,0,6,10,1
PSI72HDM4QX,1,0,10,7,8,4
