Student_ID,OOP,DSA,DBMS,ASC,FP,SE,FLCD,OS,WEBDEV,PDP,Elective 1,Elective 2,Elective 3,Elective 1 Mark,Elective 2 Mark,Elective 3 Mark
SID20134240,47,47,46,58,84,40,46,50,82,84,AR_VR,CS,IOT,91,34,69
SID20134249,92,42,69,41,75,56,21,52,75,54,NLP,CC,IOT,70,27,13
SID20134260,51,48,54,55,79,72,52,54,93,57,SVV,CS,ML,84,79,21
SID20134273,41,86,86,72,48,76,91,88,57,40,NLP,CS,IOT,54,87,23
SID20134275,71,56,86,62,67,43,50,40,21,44,AR_VR,CS,ML,72,35,70
SID20134351,89,69,66,72,59,78,48,88,79,26,AR_VR,CS,ML,55,36,46
SID20134363,51,86,75,79,70,53,48,97,42,100,NLP,CC,IOT,81,15,64
SID20134382,82,24,74,49,53,53,86,67,60,47,NLP,CS,IOT,65,50,41
SID20134409,43,68,84,92,59,77,49,99,80,63,NLP,CC,ML,68,47,68
SID20134424,92,81,50,64,42,49,93,77,45,90,SVV,CC,ML,87,51,15
SID20134428,73,57,86,45,96,59,47,50,41,71,SVV,CC,IOT,97,20,15
SID20134445,90,57,81,75,45,71,61,43,77,58,AR_VR,CS,IOT,46,67,64
SID20134476,67,95,96,45,46,74,75,46,93,41,NLP,CC,ML,59,22,87
SID20134484,70,81,40,67,92,80,44,57,75,96,AR_VR,CC,IOT,89,52,48
SID20134504,84,52,59,54,67,60,71,47,86,57,NLP,CS,ML,77,11,62
SID20134538,50,52,72,51,84,73,61.8,68,80,88,SVV,CC,ML,85,32,41
SID20134563,61,93,81,75,75,93,52,44,45,40,SVV,CS,IOT,100,20,80
SID20134581,43,61,85,75,49,62,52,65,40,58,NLP,CC,ML,71,23,82
SID20134601,96,50,65,87,70,94,69,65,53,79,SVV,CS,ML,55,26,16
SID20134602,45,64,56,44,81,91,40,54,54,56,NLP,CS,ML,50,36,14
SID20134607,76,69,64,66,40,72,25,79,49,40,AR_VR,CS,IOT,63,28,43
SID20134645,91,57,86,54,69,45,40,25,56,44,AR_VR,CC,IOT,69,87,50
SID20134659,63,48,84,23,98,83,66,44,45,64,NLP,CC,ML,64,53,57
SID20134683,83,48,66,71,59,96,97,47,82,99,SVV,CS,IOT,50,20,76
SID20134703,51,83,69,48,80,99,81,61,54,72,AR_VR,CC,IOT,72,77,15
SID20134704,62,88,46,59,68,96,60,70,96,82,SVV,CS,IOT,96,32,28
SID20134723,91,46,86,88,43,79,51,80,86,86,AR_VR,CC,ML,89,69,21
SID20134757,52,75,59,28,47,61,92,52,40,79,AR_VR,CS,IOT,48,94,43
SID20134761,76,82,62,76,71,50,97,90,100,74,SVV,CC,ML,78,27,25
SID20134792,74,44,54,45,62,72,55,50,55,90,AR_VR,CS,IOT,41,67,84
SID20134805,44,93,95,60,99,67,73,66,82,85,SVV,CS,ML,87,78,20
SID20134816,79,56,77,98,52,71,70,49,72,80,SVV,CS,ML,67,70,14
SID20134820,94,78,59,94,50,84,71,45,67,64,AR_VR,CS,IOT,59,85,96
SID20134828,100,77,80,51,91,90,100,44,42,97,NLP,CC,IOT,75,96,97
SID20134829,63,70,46,57,79,47,96,46,44,48,SVV,CC,ML,100,28,35
SID20134852,98,43,79,43,55,54,51,83,66,62,AR_VR,CC,ML,99,32,100
SID20134889,66,71,50,79,61,44,76,77,93,62,NLP,CC,IOT,97,62,11
SID20134891,70,91,91,78,47,41,96,74,41,61,NLP,CS,IOT,85,52,21
SID20134899,77,91,52,82,43,61,71,89,90,73,NLP,CS,IOT,71,63,17
SID20134900,91,98,43,48,79,44,73,43,62,40,AR_VR,CS,IOT,65,91,91
SID20134923,64,73,57,96,77,45,58,68,96,73,NLP,CS,IOT,82,76,86
SID20134974,78,60,55,82,50,40,25,69,45,57,NLP,CS,IOT,89,47,19
SID20134979,82,92,93,20,66,46,66,49,73,60,NLP,CS,IOT,83,28,59
SID20134991,82,93,98,83,66,53,76,63,78,82,SVV,CC,IOT,73,31,14
SID20135002,48,86,67,100,65,27,59,80,42,42,AR_VR,CS,ML,94,23,25
SID20135020,83,47,95,56,50,51,51,61,90,51,AR_VR,CS,ML,54,84,11
SID20135073,85,89,94,98,100,41,92,67,99,77,SVV,CC,ML,56,51,11
SID20135090,62,90,56,49,83,49,55,63,40,57,SVV,CS,IOT,63,81,14
SID20135098,83,94,81,99,56,40,52,63,94,21,NLP,CS,IOT,98,30,66
SID20135122,27,75,98,77,40,48,78,59,56,97,AR_VR,CS,ML,98,32,83
SID20135142,60,84,90,90,58,82,100,85,53,83,SVV,CS,ML,41,30,91
SID20135146,92,46,80,90,85,68,99,47,41,97,AR_VR,CC,IOT,72,34,58
SID20135153,80,84,50,72,22,88,86,46,57,42,NLP,CC,IOT,48,86,50
SID20135154,47,72,65,59,70,84,64,74,64,91,NLP,CS,ML,89,46,70
SID20135226,40,92,57,40,54,44,60,83,49,91,NLP,CS,ML,72,67,89
SID20135261,77,22,81,66,45,89,57,95,85,40,SVV,CS,IOT,91,23,77
SID20135280,56,73,47,92,88,95,72,65,88,61,SVV,CC,IOT,56,89,71
SID20135282,97,65,74,74,93,56,47,49,89,41,NLP,CC,ML,54,74,69
SID20135291,98,99,40,83,87,91,41,70,48,99,NLP,CC,ML,58,38,48
SID20135297,65,89,77,93,41,51,61,72,97,97,AR_VR,CS,ML,84,49,91
SID20135298,47,55,46,60,93,82,59,79,79,64,AR_VR,CS,ML,85,42,23
SID20135312,59,88,90,69,43,60,80,98,82,44,SVV,CS,ML,97,16,41
SID20135331,54,77,45,89,87,50,92,67,63,53,AR_VR,CC,ML,64,21,67
SID20135364,67,49,70,78,55,83,86,50,54,70,AR_VR,CS,IOT,91,67,23
SID20135373,78,48,95,95,61,45,61,51,62,48,NLP,CS,ML,74,59,37
SID20135377,70,46,54,61,87,95,58.9,70,54,52,AR_VR,CS,IOT,67,25,20
SID20135382,44,40,64,67,44,88,47,50,44,52,SVV,CS,ML,55,64,80
SID20135405,53,66,71,76,89,85,98,59,98,69,SVV,CC,IOT,42,11,13
SID20135426,64,60,76,45,46,69,89,66,75,59,AR_VR,CC,ML,93,10,46
SID20135446,85,83,86,60,57,83,74,47,45,77,SVV,CS,IOT,63,42,44
SID20135449,48,84,98,93,27,71,71,24,43,62,NLP,CC,ML,42,67,33
SID20135456,42,71,96,56,55,88,53,75,42,91,NLP,CS,ML,78,27,78
SID20135459,77,98,97,84,48,86,54,74,99,47,AR_VR,CS,IOT,43,24,60
SID20135469,72,73,45,100,86,64,84,87,25,84,AR_VR,CS,ML,81,27,59
SID20135559,53,82,57,69,60,68,66,68,76,61,NLP,CC,ML,60,24,83
SID20135569,99,63,61,90,76,69,95,54,44,51,NLP,CC,ML,87,74,99
SID20135573,67,70,76,55,100,54,98,50,70,98,AR_VR,CS,IOT,53,75,47
SID20135623,59,75,57,53,63,51,77,64,65,93,AR_VR,CC,IOT,79,17,83
SID20135654,68,87,71,75,96,81,77,55,90,94,NLP,CC,IOT,64,11,30
SID20135657,45,63,79,81,76,74,49,93,82,86,SVV,CS,IOT,61,54,43
SID20135661,78,86,53,44,50,54,83,97,98,62,AR_VR,CS,IOT,89,15,38
SID20135672,69,49,83,45,80,47,47,83,98,43,SVV,CC,ML,91,11,38
SID20135675,66,73,48,47,69,46,82,54,83,98,SVV,CS,ML,85,95,96
SID20135678,99,78,75,81,58,100,62,43,86,60,AR_VR,CS,ML,51,74,25
SID20135684,98,83,43,97,61,71,79,94,76,46,AR_VR,CS,ML,76,78,17
SID20135687,56,91,90,72,92,73,64,88,80,51,AR_VR,CS,ML,79,97,61
SID20135700,56,89,65,43,77,71,48,46,65,68,SVV,CC,ML,56,96,87
SID20135707,47,85,99,77,94,59,63,75,99,81,NLP,CC,IOT,57,74,46
SID20135717,90,94,70,91,41,69,63,62,53,40,NLP,CC,IOT,68,66,91
SID20135731,82,50,63,96,99,56,90,77,59,69,SVV,CS,IOT,59,37,45
SID20135775,63,94,80,72,47,98,44,84,69,63,NLP,CC,ML,53,64,67
SID20135785,74,94,96,77,58,99,60,100,68,55,AR_VR,CS,ML,62,69,96
SID20135792,84,84,68,99,80,73,67,55,45,71,NLP,CC,ML,78,42,73
SID20135793,42,46,54,92,54,91,46,68,83,26,SVV,CS,IOT,68,75,87
SID20135822,87,42,45,99,90,61,42,44,59,48,AR_VR,CS,ML,71,85,44
SID20135859,44,69,43,72,50,56,56,56,43,22,SVV,CS,IOT,100,66,59
SID20135870,81,99,74,46,93,62,46,89,77,82,NLP,CC,IOT,55,94,91
SID20135873,92,77,42,42,72,53,46,48,72,73,SVV,CS,IOT,91,95,39
SID20135897,52,94,51,97,42,91,99,48,68,65,SVV,CS,ML,49,86,65
SID20135905,90,67,78,69,56,98,93,92,55,75,AR_VR,CC,ML,74,10,52
SID20135919,87,96,40,51,60,51,57,50,65,52,SVV,CC,ML,97,62,11
SID20135936,94,65,89,66,83,100,93,68,61,51,NLP,CC,IOT,94,86,13
SID20135945,97,46,90,95,95,52,97,53,96,63,AR_VR,CC,ML,61,56,38
SID20135953,67,41,56,61,63,86,70,88,74,26,AR_VR,CS,ML,77,98,65
SID20136006,73,62,82,99,45,84,85,58,78,84,AR_VR,CS,IOT,54,71,94
SID20136013,57,83,70,97,73,100,93,49,75,91,NLP,CC,IOT,89,56,58
SID20136021,43,70,96,49,71,96,90,83,100,91,AR_VR,CS,ML,63,75,82
SID20136023,79,56,92,77,46,46,67,81,68,44,AR_VR,CC,ML,87,73,76
SID20136032,100,97,65,56,48,78,77,83,45,63,SVV,CC,IOT,52,52,85
SID20136041,73,46,90,84,75,47,60.9,50,78,66,AR_VR,CC,ML,65,32,81
SID20136060,40,62,49,49,100,62,80,56,75,76,NLP,CS,IOT,78,100,24
SID20136079,91,75,58,89,55,50,91,97,75,55,SVV,CC,IOT,93,15,87
SID20136097,61,68,94,92,81,94,44,58,64,53,NLP,CC,IOT,69,65,75
SID20136107,67,48,41,76,83,78,98,69,51,40,AR_VR,CC,ML,80,100,39
SID20136119,84,75,78,46,70,41,68,79,77,81,SVV,CC,ML,100,28,22
SID20136154,89,84,66,58,68,98,91,67,53,62,NLP,CC,IOT,56,93,35
SID20136164,67,64,47,96,76,96,40,74,81,47,SVV,CC,IOT,81,14,38
SID20136179,77,80,94,43,78,28,68,68,94,91,AR_VR,CS,ML,46,77,91
SID20136266,89,47,97,59,68,41,65,99,82,85,SVV,CS,ML,52,32,74
SID20136281,43,93,92,50,59,82,65,79,76,93,AR_VR,CC,IOT,77,18,49
SID20136282,70,56,47,89,41,53,96,65,91,97,SVV,CS,IOT,64,43,79
SID20136284,87,91,55,90,84,74,67,56,72,43,AR_VR,CC,ML,54,28,83
SID20136287,48,77,43,74,52,45,51,44,94,48,AR_VR,CS,IOT,98,85,25
SID20136298,44,49,89,56,45,91,82,50,54,55,SVV,CC,IOT,79,69,47
SID20136303,94,44,81,70,75,63,57,75,48,65,SVV,CS,ML,60,33,47
SID20136307,40,94,86,91,62,98,58,73,79,70,SVV,CC,IOT,62,12,14
SID20136338,45,68,60,64,51,89,87,69,53,92,SVV,CS,ML,90,20,70
SID20136416,83,51,79,88,46,68,45,55,52,51,NLP,CS,ML,88,48,38
SID20136421,72,54,85,55,100,62,76,72,44,52,AR_VR,CC,ML,79,91,39
SID20136447,94,42,62,81,71,72,71,62,73,55,AR_VR,CS,ML,49,74,94
SID20136462,77,91,52,68,53,57,81,44,52,56,AR_VR,CS,IOT,86,83,48
SID20136527,75,84,46,57,55,66,97,86,43,67,NLP,CS,ML,88,88,97
SID20136563,59,52,65,89,44,88,55,80,69,92,NLP,CC,IOT,54,42,43
SID20136572,42,56,98,69,98,41,50,89,81,49,AR_VR,CC,IOT,49,61,19
SID20136616,64,92,81,71,61,42,64,70,80,76,AR_VR,CS,ML,58,35,51
SID20136620,41,61,77,67,55,80,58,68,44,72,AR_VR,CS,ML,88,94,21
SID20136637,67,98,45,66,90,47,42,60,91,61,NLP,CC,IOT,90,38,96
SID20136638,40,94,72,76,52,52,82,97,56,91,SVV,CC,ML,89,92,100
SID20136695,44,49,84,54,92,97,90,99,95,89,SVV,CS,ML,84,40,79
SID20136701,79,63,61,82,83,55,98,87,73,58,AR_VR,CC,IOT,66,99,47
SID20136705,74,43,86,52,51,80,88,82,56,87,AR_VR,CC,ML,81,45,37
SID20136724,54,70,61,56,97,60,85,96,45,64,NLP,CC,IOT,72,96,71
SID20136751,78,86,95,79,78,82,40,86,89,89,AR_VR,CS,ML,56,34,98
SID20136752,53,73,71,88,74,85,57,76,69,74,NLP,CC,IOT,78,30,17
SID20136780,85,81,44,63,71,78,57,52,71,80,AR_VR,CS,IOT,64,71,51
SID20136788,23,70,91,64,61,47,71,65,99,78,NLP,CS,ML,55,50,22
